src,dest
AXIN2,DVL2
AXIN2,DVL3
AXIN2,GSK3B
AXIN2,TCF7
AZI2,TBKBP1
BAD,BCL2
BAD,BCL2L1
BAMBI,ACVR1
BAMBI,ACVR1B
BAMBI,BMPR1A
BAMBI,BMPR1B
BAMBI,DVL1
BAMBI,DVL2
BAMBI,DVL3
BAMBI,FZD1
BAMBI,FZD10
BAMBI,FZD2
BAMBI,FZD3
BAMBI,FZD4
BAMBI,FZD5
BAMBI,FZD6
BAMBI,FZD7
BAMBI,FZD8
BAMBI,FZD9
BAMBI,LRP5
BAMBI,LRP6
BAMBI,TGFBR1
BAX,CASP3
BBC3,TP53
BBC3,TP53AIP1
BCAR1,CRK
BCAR1,CRKL
BCL10,CASP8
BCL10,CHUK
BCL10,IKBKB
BCL10,MALT1
BCL10,MAP3K7
BCL10,MAPK1
BCL10,MAPK10
BCL10,MAPK11
BCL10,MAPK12
BCL10,MAPK13
BCL10,MAPK14
BCL10,MAPK3
BCL10,MAPK8
BCL10,MAPK9
BCL10,PIK3CA
BCL10,PIK3CB
BCL10,PIK3CD
BCL10,PIK3R1
BCL10,PIK3R2
BCL10,PIK3R3
BCL2,BAX
BCL2,CASP3
BCL2,NLRP1
BCL2,TP53
BCL2L1,BAX
BCL2L1,NLRP1
BCL3,CCL17
BCL3,CCL22
BCL3,IL10
BCL3,IL12A
BCL3,IL12B
BCL3,IL23A
BCL3,IL6
BCL3,NFKB1
BDKRB1,GNA11
BDKRB1,GNA14
BDKRB1,GNA15
BDKRB1,GNAQ
BDKRB2,GNA11
BDKRB2,GNA14
BDKRB2,GNA15
BDKRB2,GNAI1
BDKRB2,GNAI2
BDKRB2,GNAI3
BDKRB2,GNAQ
BDNF,CSF1R
BDNF,EGFR
BDNF,EPHA2
BDNF,ERBB2
BDNF,ERBB3
BDNF,ERBB4
BDNF,FGFR1
BDNF,FGFR2
BDNF,FGFR3
BDNF,FGFR4
BDNF,FLT1
BDNF,FLT3
BDNF,FLT4
BDNF,IGF1R
BDNF,INSR
BDNF,KDR
BDNF,KIT
BDNF,MET
BDNF,NGFR
BDNF,NTRK1
BDNF,NTRK2
BDNF,PDGFRA
BDNF,PDGFRB
