gene_idx,gene_name,degree,log_rna_degree
213,CALML5,0.7761307311989198,0.0
214,CALML6,0.4638320877207997,0.0
215,CAMK1,0.1324647150184398,0.0
216,CAMK1D,0.0220644897094,0.0
217,CAMK1G,0.0389265389486,0.0
218,CAMK2A,0.2450790605602,0.0
219,CAMK2B,0.2251157754995998,0.0
220,CAMK2D,0.2759130189407998,0.7649933246343926
221,CAMK2G,0.2089109166089998,0.33622914951188304
222,CAMK4,0.9504523737593998,0.0
223,CAMKK2,0.0582994454541999,0.10445858344330715
224,CAMP,0.0488137215079999,0.0
225,CARD10,0.003489681767,0.008367891412659966
226,CARD11,0.0504359215586399,0.06991903365462762
227,CARD14,0.001507761677,0.0
228,CARD16,0.000827726284,0.0013321740625877952
229,CARD17,0.004235969944,0.0
230,CARD18,1.4311659000000002e-05,0.0
231,CARD6,0.018243885515,0.04374692683389317
232,CARD8,0.050719819458,0.0703125997116443
233,CARD9,0.3003021919301995,0.0
234,CASP1,0.1018203557593599,0.2687097561707719
235,CASP10,0.1014465374199999,0.14063476278048384
236,CASP12,1.4311659000000002e-05,0.0
237,CASP3,1.1762604024219996,3.8323699449428723
238,CASP4,1.4311659000000002e-05,3.968034433994147e-05
239,CASP5,0.016750934144,0.023221725547317842
240,CASP7,0.015885609259,0.0475890323422544
241,CASP8,0.1600512924561199,0.4534594575201229
242,CASP9,0.0951285112609998,0.13187611874285404
243,CASQ1,0.0418825776059998,0.0
244,CASQ2,0.1182966801769999,0.0
245,CASR,0.10140180266,0.0
246,CASTOR1,0.136933963652,0.0
247,CASTOR2,0.027989189515,0.0
248,CAT,0.0220987384284599,0.05668214493278879
249,CBL,0.01911356382456,0.026497025750892658
250,CBLB,0.24364434428,0.16888139029705865
251,CCKAR,0.0495148390909999,0.0
252,CCKBR,0.030335501121,0.0
253,CCL1,0.1133595957069999,0.0
254,CCL11,0.2727378246137997,0.0
255,CCL13,0.0622484776242,0.0
256,CCL14,0.2053134636249999,0.0
